state_county,pop_2012,popdensity,percapinc
06053,420565,128.1977653,25508
06055,138821,185.499919,35309
06057,99583,103.9736389,31607
06059,3046437,3853.479798,34416
06061,368034,261.5719169,35583
06063,19554,7.659095464,28104
06065,2330123,323.337192,24516
06067,1452318,1505.548591,27180
06069,55610,40.04435697,26300
06071,2101441,104.773768,21932
06073,3157610,750.6270259,30955
06075,814726,17381.64091,46777
06077,708262,509.0570355,22857
06079,278108,84.31176806,30204
06081,727092,1621.495816,45346
06083,432445,158.1102444,30330
06085,1811928,1404.486494,40698
06087,265963,597.4408771,32975
06089,178851,47.37269834,23691
06091,3124,3.277332021,26137
06093,44479,7.085027077,22335
06095,416168,506.4319564,29367
06097,488064,309.7149433,33119
06099,526976,352.533203,21820
06101,98083,162.8175853,22464
06103,64794,21.96623789,20689
06105,13960,4.390967176,22551
06107,459284,95.20388893,17986
06109,55140,24.82795281,26084
06111,840889,456.2281081,32740
06113,207473,204.469541,28631
06115,75116,118.8848057,20046
08001,463812,397.2172642,24384
08003,15516,21.47118058,20429
08005,589689,738.8658331,32482
08007,12506,9.262500755,29361
08009,3367,1.317825306,21322
08011,6504,4.299138587,15390
08013,300408,413.6203317,37720
08014,59241,1793.336773,36783
08015,18018,17.77969441,26795
08017,1708,0.960480915,22877
08019,8957,22.66293672,35345
08021,8124,6.310439321,18094
08023,3437,2.80125144,18622
08025,5864,7.44709498,17746
08027,4355,5.896087139,28008
08029,31655,27.71769139,23495
08031,614413,4015.766945,32051
08033,1945,1.822780164,22729
08035,309102,367.8699419,43461
08037,54811,32.53786301,38174
08039,23592,12.74659747,34527
08041,645374,303.4481897,28624
08043,46294,30.19696741,19657
08045,59545,20.20143181,27901
08047,5576,37.19909907,33439
08049,15320,8.297543289,30519
08051,15582,4.810596204,28862
08053,845,0.756320375,38528
08055,6381,4.010683164,22167
08057,1321,0.818603936,24466
08059,536727,702.3308841,35587
08061,1298,0.734259632,24098
08063,8194,3.792076047,21674
08065,7248,19.23001726,21063
08067,52869,31.2450076,30592
08069,310570,119.6339699,30276
08071,15465,3.240323528,22357
08073,5286,2.050723887,20579
08075,22837,12.42122482,23601
08077,154347,46.36473525,27680
08079,694,0.792539222,50502
08081,13943,2.939520705,23810
08083,25876,12.74976806,25612
08085,43194,19.27705448,23498
08087,28274,22.08160039,19753
08089,18257,14.467161,17396
08091,4597,8.487926383,31329
08093,16329,7.443093577,30908
08095,4325,6.286996131,20995
08097,17623,18.1549911,57179
08099,12054,7.357202431,19337
08101,162751,68.20783807,22056
08103,6819,2.117088041,27771
08105,11745,12.87888452,18762
08107,24270,10.27507698,34435
08109,6044,1.907512392,20194
08111,709,1.829736112,25839
08113,7458,5.796621716,44490
08115,2233,4.074513915,23515
08117,28897,47.50000871,35218
08119,23764,42.66002225,28569
08121,4301,1.708080583,24814
08123,268960,67.45521469,25233
08125,9891,4.183293982,21825
09001,923450,1477.781152,48922
09003,900246,1224.663186,33991
09005,190408,206.8393476,37249
09007,167380,453.2341146,39347
09009,868757,1437.13562,32509
09011,276738,416.2237501,33478
09013,155402,378.8318763,33929
09015,120167,234.2848229,27634
10001,169762,289.6078696,24374
10003,544067,1276.296682,31988
10005,206476,220.5754462,27580
11001,617628,10117.01828,43993
12001,252062,288.0642467,25172
12003,28144,48.09041429,19985
12005,171830,226.5513633,25370
12007,28994,98.63195742,17270
12009,561534,552.8737136,27927
12011,1758159,1453.281974,28720
12013,14868,26.20676645,14486
12015,161267,237.0602049,26902
12017,145790,250.6290956,22939
12019,201666,333.6850288,26650
12021,337695,168.9890799,37335
12023,69909,87.65203114,19224
12027,35123,55.13301924,16034
12029,16473,23.3641992,18374
12031,880502,1155.223274,26394
12033,295898,450.747144,23773
12035,106921,220.2464011,24455
12037,11930,22.3105394,21009
12039,46596,90.2443076,17657
12041,17413,49.7974204,18869
12043,13426,16.65737993,18248
12045,16164,28.65895362,18371
12047,14939,29.07605677,15484
12049,27870,43.69826837,15760
12051,39868,34.58511586,14858
12053,182046,385.2511229,22540
12055,101635,99.97395363,19860
12057,1277682,1252.367095,27282
12059,20005,41.78350603,15404
12061,144028,286.4110066,31732
12063,50105,54.59488377,18368
12065,14962,25.01609016,19788
12067,9195,16.92089056,19201
12069,315071,335.7601406,25440
12071,655137,835.087503,28946
12073,282033,422.9319082,26332
12075,42063,37.61651452,19244
12077,8575,10.2625547,16291
12079,19102,27.44743842,16398
12081,335008,450.9275079,27918
12083,345820,218.245449,22328
12085,150100,276.1912191,35822
12086,2535522,1336.091555,23348
12087,75033,76.30871111,35074
12089,78094,120.3966753,29368
12091,183929,197.7205881,28505
12093,41537,54.02076324,19493
12095,1192482,1319.951066,25494
12097,289514,218.0974208,20440
12099,1355815,688.3136919,33960
12101,492358,659.2143528,24116
12103,914284,3339.253678,29232
12105,626220,348.3185955,21952
12107,74431,102.2934761,18609
12109,207989,346.2702246,36694
12111,296546,518.5043507,23172
12113,158461,156.6432199,26507
12115,391084,703.5558828,33096
12117,431258,1394.658317,29894
12119,102357,187.1473918,25070
12121,42685,61.99242437,19094
12123,23397,22.42584765,18291
12125,15806,64.89685792,14210
12127,504739,458.4237089,24536
12129,32833,54.14246593,22089
12131,58226,56.11469334,27064
12133,25662,44.03201024,18382
13001,18218,35.92719302,18899
13003,8473,24.96599085,15172
13005,11192,43.28326632,16561
13007,3256,9.52203679,17838
13009,45707,177.2663147,17953
13011,19147,82.49790543,20149
13013,74723,466.1182355,20740
13015,104835,228.1282734,22324
13017,17525,70.0662157,16234
13019,19789,43.79095312,16885
13021,155085,620.9320343,21754
13023,13284,61.53709457,18149
13025,19014,42.98286093,18464
13027,15855,32.1572638,22812
13029,31750,72.8266869,28911
13031,73027,108.5403991,17918
13033,23199,28.05309191,15690
13035,24444,132.5645576,21130
13037,6741,24.04348085,13428
13039,51891,84.64741901,22228
13043,11206,46.10690542,16962
13045,115080,230.5862254,20739
13047,65882,406.2792044,22368
13049,12380,16.00359051,17623
13051,272470,638.9461155,25394
13053,11264,45.28494208,21648
13055,26003,82.98705095,14924
13057,230413,546.4249828,29968
13059,119476,1002.312341,19596
13061,3124,15.98923232,12619
13063,262928,1857.231453,18835
13065,6707,8.381419138,15980
13067,703960,2073.219408,33514
13069,43100,74.94384597,16854
13071,46063,84.65076702,17922
13073,131199,452.2703204,30109
13075,17361,76.42578903,18755
13077,135760,307.921093,26117
13079,12536,38.58558592,20244
13081,23527,86.31117058,17140
13083,16799,96.55637209,21110
13085,23703,112.4272934,25158
13087,27573,46.17512602,17968
13089,695910,2600.736249,28843
13091,22167,44.70145397,16756
13093,15368,39.21007409,15515
13095,93782,285.3217608,19204
13097,140598,702.7547918,24457
13099,10580,20.64011902,17313
13101,4002,9.645826427,14179
13103,55420,116.0143373,24136
13105,19875,56.61502746,17978
13107,22565,33.15438449,16318
13109,10955,59.9115924,18547
13111,24267,62.75031959,20085
13113,109339,562.6105429,35405
13115,96897,190.0274227,21213
13117,192692,860.1528079,35277
13119,22249,85.08332548,19524
13121,945379,1795.132885,37711
13123,29108,68.24213139,20624
13125,3166,22.02593367,17265
13127,82417,196.3463995,27767
13129,57327,161.1177215,18781
13131,25099,55.22006129,17683
13133,16117,41.59918749,24479
13135,851715,1978.969085,26712
13137,44585,161.1081659,19710
13139,188977,481.1246264,24572
13141,9224,19.5489781,11714
13143,29202,103.492625,19472
13145,33646,72.53346534,31363
13147,25468,109.5898623,19252
13149,11924,40.2796814,17381
13151,220791,685.4164199,25949
13153,145733,388.061858,25329
13155,9321,26.30502643,17062
13157,64992,191.3426316,22465
13159,14335,38.93635636,20440
13161,15490,46.83434501,17127
13163,16625,31.57735988,14974
13165,8160,23.49694332,15243
13167,10187,33.61930387,16178
13169,29557,75.0305246,23185
13171,18664,101.7112117,18058
13173,10702,57.76707077,17472
13175,48817,60.4697875,19358
13177,28655,80.54049704,24121
13179,63456,129.5546505,20034
13181,7826,37.19942035,20242
13183,15415,38.50924694,15661
13185,112731,227.2499113,20040
13187,31755,112.2350466,20949
13189,21876,84.96826044,17760
13191,15066,35.50798342,20395
13193,14679,36.63883194,14398
13195,28462,100.8179428,18992
13197,8953,24.46152792,17532
13199,21620,43.13448978,18145
13201,5990,21.20947813,19558
13205,23271,45.44365531,16489
13207,27329,69.07219393,23671
13209,9169,38.28017867,16884
13211,18293,52.66453891,27459
13213,39981,116.0664987,16748
13215,190954,882.4719794,22726
13217,107795,396.0702665,21246
13219,34297,186.1036811,33863
13221,15259,34.75762576,19052
13223,155524,498.1248667,23700
13225,28486,189.5687808,18735
13227,30747,132.4974239,26206
13229,19334,61.08809934,18287
13231,18747,86.7572395,21922
13233,42034,135.4487095,18274
13235,12363,49.64443761,16679
13237,21595,62.65977665,27000
13239,2482,16.41128309,14894
13241,16419,44.37655488,22423
13243,7589,17.72152497,19523
13245,199423,614.8847132,20393
13247,88249,679.9223723,24606
13249,5278,31.62264001,16815
13251,14306,22.17637502,16647
13253,8514,36.19496545,18692
13255,65047,331.0806067,19547
13257,26157,146.0213227,18592
13259,6084,13.2626073,15944
13261,32420,67.16427887,18368
13263,6818,17.42002725,18051
13265,1615,8.298743887,13347
13267,25979,54.19031239,15741
13269,8461,22.46167872,15594
13271,17270,39.49203277,12959
13273,8825,26.3087886,15896
13275,44994,82.61910826,20716
13277,40366,155.9047092,18704
13279,27240,74.83418944,18466
13281,10655,63.9698843,21642
13283,6830,34.24659243,18030
13285,68483,165.4226656,20351
13287,8657,30.33360384,17265
13289,8613,24.03194585,16022
13291,22153,68.81389795,24124
13293,26501,81.93566578,17482
13295,69960,156.7276892,20459
13297,88851,272.8166099,22993
13299,36196,40.55753403,18513
13301,5622,19.77501973,17423
13303,21006,30.96165293,15840
13305,30718,47.86398947,18441
13307,2844,13.5999634,20524
13309,7571,25.62232614,9412
13311,28419,118.0747928,23849
13313,106413,366.3557624,20139
13315,9276,24.55888018,12561
13317,10439,22.23475807,17397
13319,9321,20.83799673,18488
13321,21378,37.45913513,18810
15001,185469,46.04017484,25573
15003,977761,1627.586183,30016
15005,88,7.33854188,49995
15007,69040,111.3627609,26591
15009,158968,136.8618861,29654
16001,411804,391.2346211,27956
16003,4016,2.946320639,24015
16005,83810,75.36952987,21457
16007,5740,5.888479676,19484
16009,9230,11.88487653,18831
16011,46122,22.02601774,18918
16013,21675,8.199089681,33408
16015,7003,3.687270767,23894
16017,41228,23.76838518,24494
16019,109025,58.42470653,23521
16021,11185,8.817080949,18509
16023,2842,1.273487559,19395
16025,1137,1.058173039,19726
16027,200861,341.9666822,18171
16029,6782,3.844353646,22014
16031,23088,9.000885654,17651
16033,960,0.544160533,19165
16035,8635,3.514057065,20238
16037,4327,0.879303505,23579
16039,25855,8.40884783,20435
16041,13003,19.59331724,18722
16043,13152,7.057591054,18709
16045,16914,30.15510041,20660
16047,15434,21.1722515,18339
16049,16259,1.917933808,19299
16051,27801,25.42384194,19648
16053,23144,38.75518675,17415
16055,144801,116.3878576,24766
16057,37301,34.66649617,21818
16059,7886,1.728102259,24019
16061,3759,7.85095677,18865
16063,5344,4.448124052,18147
16065,39541,84.27217395,14314
16067,19772,26.0985031,19537
16069,39482,46.55392466,24580
16071,4246,3.538153751,18902
16073,11516,1.502313356,16665
16075,22923,56.34029579,19590
16077,7764,5.528954953,18293
16079,12480,4.745852293,19717
16081,11092,24.67874906,23576
16083,79897,41.58675823,20619
16085,9863,2.691488334,27678
16087,10147,6.983571096,20896
17001,66742,78.04235736,24798
17003,7863,33.38723587,14617
17005,17682,46.49741033,24166
17007,56978,202.9713937,26323
17009,6824,22.32933664,19704
17011,34570,39.77992834,25344
17013,5072,19.98229824,24643
17015,14988,33.69549707,26196
17017,13440,35.76195716,19975
17019,204854,205.6218515,25226
17021,34474,48.59754908,23125
17023,16080,32.06905486,24338
17025,13527,28.88435287,21577
17027,37884,79.90971842,26380
17029,53920,106.0810668,21669
17031,5168652,5467.585521,29920
17033,19543,44.05254906,23387
17035,10898,31.49490432,21715
17037,108938,172.5595031,24547
17039,16366,41.17094797,25914
17041,19750,47.40022716,22339
17043,919811,2808.592116,38405
17045,18146,29.1093161,23897
17047,6615,29.74159587,20907
17049,34076,71.17293774,25566
17051,22012,30.72233452,22419
17053,13293,27.3735043,25302
17055,39468,96.52497025,19668
17057,36531,42.20334718,21071
17059,5373,16.63101102,22674
17061,13511,24.88124616,22366
17063,53072,126.9534997,28159
17065,8341,19.18948527,22471
17067,18651,23.49803675,23027
17069,4185,23.57380137,18749
17071,7010,18.50229485,23237
17073,49996,60.74956565,25931
17075,29184,26.11973187,24563
17077,60380,103.3760083,19619
17079,9483,19.17657028,22917
17081,38361,67.16227484,22032
17083,23256,62.97809387,24940
17085,22597,37.59354815,28659
17087,12516,36.39271205,17328
17089,540008,1038.36164,29864
17091,115679,170.9822384,23190
17093,129121,403.0806534,31325
17095,52011,72.60103525,21336
17097,716365,1614.634967,38512
17099,114365,100.7511074,25439
17101,17001,45.6797404,17050
17103,35974,49.62640608,25303
17105,38414,36.78496378,23530
17107,29697,48.04883589,22136
17109,32376,54.92974211,18854
17111,319381,529.5029631,32318
17113,173396,146.5263464,29425
17115,109613,188.7638014,25797
17117,47164,54.65714225,24141
17119,271099,378.8513099,26939
17121,38645,67.51832695,21418
17123,12411,32.08726722,25600
17125,14234,26.39652318,23992
17127,15380,64.83500556,20044
17129,12659,40.2592449,26300
17131,16176,28.82383681,25878
17133,34127,88.63906393,31570
17135,29666,42.15797783,22205
17137,35135,61.77139777,23598
17139,14882,44.29915079,24078
17141,53308,70.27393301,25803
17143,187074,302.1174918,28743
17145,22191,50.23307911,18469
17147,16747,38.13049613,27452
17149,16067,19.3256646,20383
17151,4447,12.05900463,20603
17153,5804,29.13875877,17732
17155,5934,37.05033085,25510
17157,33165,57.62816807,21442
17159,16080,44.66785518,23922
17161,147201,344.2199264,25609
17163,272430,414.1789097,25475
17165,24387,64.2069637,21626
17167,199013,229.1978294,29167
17169,7555,17.27754694,22215
17171,5259,20.95946923,27955
17173,21940,28.92463464,22522
17175,5871,20.37981135,24952
17177,47160,83.53955805,23413
17179,136944,211.0160853,27395
